id,name,description,cost,image,subcategory,availability,,,,,,
21,"Вино игристое белое полусладкое Frizzantino il Mio, 8%, 1,5л. (Италия)","Il Mio Frizzantino Amabile – типичное десертное италийское вино из рода «фриззанте» (вина слабого давления).

Дегустационные заметки

Вино бледно-золотистого цвета с зеленоватыми переливами. Гармоничное сочетание нежного цветочно-фруктового аромата и сладковатого персиково-грушевого вкуса с приятным послевкусием не оставят Вас равнодушными.

Винификация

Сусло составляют только отборные гроздья винограда, которые прошли процесс мягкого прессования. После будущее вино предают брожению при контролируемой температуре около 16º С в емкостях из стали. Вторичная ферментация проходит в закрытых кюве.

Гастрономические заметки

Il Mio Amabile  – вино, которое отлично подойдет жарким днем, чтобы освежить летний зной незабываемой прохладой. Подается при температуре 6-8 º С к пасте, различным закускам, рыбе, а также  идеально сочетается с фруктами и десертами. ",180,/alcohol/8-wine/ilMIO.jpg,8,true,,,,,,
22,"Напиток винный Felix Solis Rucio Sangria красный полусладкий 7% 1,5л (Испания)","Rucio Сангрия - алкогольный напиток, произведен на Юге Испании.

В основе сангрии лежит красное вино, а также небольшие кусочки различных экзотических фруктов, сахар и другие важные ингридиенты. Напиток принято подавать охлажденным при температуре около 13 градусов. Для охлаждения обычно используют кусочки льда. Напиток имеет фруктовый аромат и сладкий вкус. Поставляется в стеклянной бутылке по 1,5 л.

Сангрия довольно распространенный напиток на сегодняшний день. Rucio Сангрия хорошо сочетается с сыром, мясом и рыбой, а также другими не сладкими закусками.",195,/alcohol/8-wine/SangriaRucio.jpg,8,true,,,,,,
23,"Вино Букет Молдавии полусладкое, 16%,  1л.  Дьти Фри, (Молдавия)",Букет Молдавии производиться по классическому рецепту от завода в Дубоссарах. Для приготовления вина используются специально выращенные местные трави и специи. Для приготовления вермутов используется исключительно натуральные ингредиенты. Если вы ищете где в Украине можно купить вермут Букет Молдавии мы с радостью поможем Вам в решении этого вопроса. В нашем магазине представлены и другие вермуты различных производителей. Наши консультанты помогут выбрать нужный напиток по цене и на любой вкус.,250,/alcohol/8-wine/BuketMoldanii.jpg,8,true,,,,,,
24,"Виски (Chivas Regal) Чивас 12 лет в коробке, 1л. Дьюти Фри","Общая информация:
Chivas Regal 12 лет – купажированный эталонный виски премиального класса, носящий титул «Принца шотландских виски». Этот напиток имеет двухвековую историю и является самым популярным блендом Шотландии. В состав купажа входят самые качественные молты Спейсайда, которые имеют минимум двенадцатилетнюю выдержку. Самым же главным компонентом Чивас 12 лет является Стратайла – односолодовый шедевр старейшей шотландской вискикурни, придающий напитку чарующий букет. Купажистам братьям Чивас удалось при помощи уникальных сочетаний молта создать неповторимый напиток, который по праву считается лучшим блендом. Еще одним секретом является выдержка в бочках из дуба, которая придает древесные ноты в неповторимый вкусовой букет «Чивас 12 лет». Напиток подвергается холодной фильтрации и разливается в фирменные бутылки.

Вкус:
Обволакивающий, богатый, многогранный, зрелый с интонациями меда и яблочными нотами, ванильной и карамельной сладостью, ореховыми оттенками и перечной пряностью. Послевкусие продолжительное, приятное, обволакивающее древесно-медовое.

Аромат:
Насыщенный, богатый, густой, с тонами диких трав, медовыми отливами, нотами садовых фруктов и смородины, легкими ванильными отголосками, дубовыми интонациями, завершенными полутонами запеченного яблока.

Гастрономическая сочетаемость:
Рекомендован к употреблению в чистом виде либо с добавлением льда.

Цвет:
Теплый, насыщенный, блестящий, золотисто – янтарный.

Тип:
Бленд.

Регион:
Спейсайд (Speyside).

Выдержка:
Не менее 12 лет.",980,/alcohol/10-whiskey/chivasRegal.jpg,10,true,,,,,,
25,Виски Hankey Bannister (Ханки Баннистер) 1л. Дьюти Фри,"""Hankey Bannister давно завоевал славу любимого виски аристократов и политических деятелей. Уинстон Черчиль считается одним из поклонников этого напитка. Благодаря классической, строгой гамме вкуса виски получил особую популярность также в кругах военных.
Виски имеет темный, ирисовый цвет с приятным ароматом в котором слышаться легкие оттенки меда с пряностями. Строгий и легкий вкус и немного сладковатое послевкусие. Тонкий баланс алкоголя и пряностей помогает в полной мере насладиться изысканным напитком избранных.
Крепкость напитка составляет 40%.""",440,/alcohol/10-whiskey/hankeyBannister.jpg,10,true,,,,,,
26,"Бренди Метакса 1л. 38% алк., Дьюти фри","Общая информация:
Метакса 5*– самый популярный бренди линейки Metaxa. Срок выдержки спиртов, используемых при производстве, Метакса 5 звезд, не менее 5 лет. Дистиллят получают из вина, созданного из купажа трех автохтонных греческих сортов винограда. После созревания бренди смешивают с мускатными винами, экстрактами трав и цветочных лепестков, это придает Метаксе неповторимый вкус и аромат, присущий исключительно этому напитку, после отправляют «успокоится» еще на полгода в бочки и наконец, охлаждают, фильтруют и разливают в бутылки, дизайн которых напоминает элементы греческой архитектуры.

Вкус:
Насыщенный, яркий, сбалансированный. Фруктовый вкус представлен нотами персика, абрикоса и изюма. Выгодно оттеняет его неординарный, как для бренди, вкус и послевкусие, сочетающее в себе ноты миндаля и дуба.

Аромат:
Метакса имеет аромат апельсина, фиалки, цветочного мёда и ванили. Ноты спелого абрикоса прекрасно дополняют неповторимый аромат

Гастрономическая сочетаемость:
Классически как дижестив, можете добавить льда, воды или колы. Насыщенный вкус будет выразителен в кофе.

Цвет:
Янтарно-золотистый, насыщенный.

Сорт винограда:
В производстве дистиллята для бренди используются сорта: Султаннина, Саватьяно, Черный коринф, также используют вино из сорта Мускат, во время смешивания уже выдержанного бренди с ароматическими экстрактами.

Регион:
Аттика, Крит, Коринф.

Выдержка:
5 лет в новых бочках из французского дуба.",500,/alcohol/11-cognac/Metaxa.jpg,11,true,,,,,,
27,Бренди Наполеон 1804 ВСОП 1л,"Бренди  Napaleon 1804  – это спиртной напиток пониженной крепости высочайшего качества по праву считается женским.  Этот вид бренди широко известен своими изысканными вкусовыми качествами и ярко выраженным ароматом. Напиток оставляет невероятные ощущения во время его употребления и обладает доступной ценой. Бренди  Наполеон 1804  обладает  богатым, гармоничным и мягким вкусом. Послевкусие этого напитка длительное и пьянящее, имеет некоторые оттенки специй. ",null,/alcohol/11-cognac/napoleon1804.jpg,11,true,,,,,,
28,Чача Teliani Valley (Телиани Вели) Белая 0.5л 42%,"Грузинская чача Teliani Valley Белая – обладатель ароматных оттенков винограда Ркацители. Этот оригинальный напиток характеризуют  мягкость и деликатность вкуса, чётко выраженные оттенки винограда в  послевкусии и очень многогранный аромат, где помимо винограда преобладают нотки теста, муки и дрожжей. Как нельзя лучше чача подойдет к соленьям и даже десертам. Также на основе нее можно создать коктейли, такие как Сакартвела, Пасечный чай по-грузински, Тбилиси, Батуми физ и другие.
Помимо представленной чачи, называемой Silver, компания выпускает еще несколько: Gold, Honey и Ice. Все перечисленные напитки различаются букетом вкуса и аромата и деталями производства, однако всех объединяет высокое качество и популярность среди ценителей хорошего спиртного. Именно эта чача не проходит выдержку в дубовых бочках.",null,/alcohol/11-cognac/chacha.jpg,11,true,,,,,,
29,Чача Iveria Mtsvane Grape 0.5л 45%,"Чача Iveria Mtsvane - имеет вековые традиции и производится по старинным кахетинским методом. Рецепт приготовления напитка передается от поколения в поколение. Имеет мягкий гармоничный вкус. Чачу можно использовать как в чистом виде, так и в поеданни с другими напитками в виде коктейлей. Хорошо сочетается с традиционными грузинскими блюдами. Дистиллированный из мезги сорта винограда Кахури Мцване.",null,/alcohol/11-cognac/iveriaMtsvane.jpg,11,true,,,,,,
30,"Чача Iveria Tarragon (Тархун) 0,5л 45%","Чача Iveria Tarragon (Тархун) - має вікові традиції і виробляється за старовинним кахетинські методу. Рецепт виготовлення напою передається від покоління в покоління. Витримується в дубових бочках разом з тархуном, має світло-зелений колір, легкий гармонійний смак, в якому відчувається присмак тархуна і легкі дубові нотки.
",null,/alcohol/11-cognac/iveriaTarragon.jpg,11,true,,,,,,
31,"
Elitochka Atticus 0,7л, 38% (Греция)","
Бренди Atticus крепостью 38% производят в сказочной Греции. В процессе его создания мастера используют особую рецептуру, который известен лишь единицам. Для него выбирают отборный виноград, он проходит дистилляцию, после чего в течение пяти лет напиток хранят в бочках. Известно, что в нем есть такие ингредиенты, как роза и пряности благодаря которым напиток приобретает необходимую мягкость, непревзойденный вкус и янтарный цвет

На вкус этот напиток сладковатый и мягкий. В нем улавливается цветочный букет, слышится присутствие лекарственной травы. Некоторые ценители бренди рискнули предположить, что это анис. В его аромате чувствуется зеленый виноград, цветочные запахи. Но какие именно цветы используются (кроме розы) неизвестно. Имеет приятное послевкусие, где также присутствуют цветочные оттенки и нотки винограда",null,/alcohol/11-cognac/AttikusGreek.jpg,11,true,,,,,,
32,Джин Bombay Sapphire (Бомбей) 1л. Дьюти Фри,"Общая информация:
Bombay Sapphire является одним из лучших джинов в мире. Рецептура напитка до наших дней сохранился в том же виде, в каком была впервые изобретена в 1761 году. Джин «Бомбей Сапфир» состоит из 10 компонентов, что отличает его от аналогичных напитков от других производителей, которые изготовлены из 4-6 ингредиентов. Для производства Bombay Sapphire отбирается лишь самое лучшее сырье по всему миру: лимонную цедру и миндаль привозят из Испании, кориандр – из Марокко, можжевельник – из Тосканы, корень дудника - из Саксонии, ягоды кубебы - из Индонезии и т.д. Напиток подвергается двойной дистилляции, каждый раз не менее 8 часов, а затем перегоняется в так называемых Каттерхедских Кубах.

Бренд Bombay Sapphire является относительно молодым на алкогольном рынке, впервые он был запущен в 1987 году компанией Bacardi. По версии International Wine and Spirit Record джин Bombay Sapphire является «Лучшим в мире джином премиум класса».

Вкус:
Гармоничный, мягкий, утонченный вкус с выразительными оттенками лимона, апельсина и ягод можжевельника.

Аромат:
Чудесный аромат раскрывается тонами специй, цитрусовых и можжевельника.

Гастрономическая сочетаемость:
Отличный аперитив. Джин идеален для создания различных коктейлей.

Цвет:
Прозрачный, кристально-чистый.

Регион:
Великобритания, Лондон.",600,/alcohol/12-gin/BombaySapphire.jpg,12,true,,,,,,
33,Джин Kingston Dry 1л.,"Kingston Dry Gin – французький сухий джин виготовлений лише з найкращих інгредієнтів, зокрема ягід і м’яти. Kingston – теплий, ароматний і гірко-солодкий напій з домінуючими нотами ягід ялівцю і з наступними нотами коріандру, кориці і цитрусових – апельсину та лимона, з прохолодним, гладким, фірмовим післясмаком. Джин Kingston з рекомендують вживати з тоніком і льодом.",null,/alcohol/12-gin/kingston.jpg,12,true,,,,,, 
34,Ликер Disarono (Дисароно) 1л. Дьюти Фри,"Общая информация:
Amaretto, Disaronno (0,7 л) – флагманский напиток компании Illva Saronno, который сформировал популярность бренда, и позволил ему распространиться по всей планете, с каждым годом покоряя все новые и новые горизонты. Ликер Амаретто, Дисаронно (700 мл) – представитель самых старых алкогольных напитков, которые дожили до нашего времени, не поменяв своей рецептуры и сохранив аутентичность вкусов и ароматов. Первое упоминание об этом ликере датируется 1525-м годом. В легенде компании, о том, как ученик Леонардо да Винчи посетил Саронно с творческим визитом. Однако, воссоздание оригинального рецепта было совершено в 1600-м году. Основателем компании считается Джованни Рейн, чей ликер ознаменовал новую эпоху в алкогольном мире Италии. Естественно, точный список ингредиентов остается в полнейшем секрете, однако известно, что создается он на основе миндальных орехов, с дополнением пряностей и трав. Отдельное внимание уделяется форме бутылки. Она была создана мастерами из Мурано, из специального граненого стекла. Фантастическим образом дизайн дополняется квадратной крышкой, служащей отсылкой к историческим колбам, в которых хранили ликеры средневековья. Великолепная гастрономическая палитра напитка позволяет ему хорошо адаптироваться под требования любого почитателя, и превращает ликер в отличный подарок.

Вкус:
Великолепное сочетание миндального ореха оставляет мягкую горечь, которая затмевается разбитыми пряными настроениями.

Аромат:
Нежные миндальные настроения резко и размашисто завоевывают нос, прокладывая вишневые тропинки к раскрытым долинам из специй.

Цвет:
Темный янтарь, с легким отблеском оливкового масла.

Гастрономическая сочетаемость:
Напиток создавался как дижестив, и отменно выступает в этой роли и сейчас. Хорошо пьётся в охлажденном виде, либо со льдом. Великолепен во всем спектре коктейлей, которые представлены на официальном сайте компании. Вы с лёгкостью можете делать их в домашних условиях.

Регион:
Саронно (Италия).",650,/alcohol/15-liquor/Disaronno.jpg,15,true,,,,,,
